Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
Spicy Beef Tikka Recipe,Indian/Pakistani,1 channel,-,-,Spicy Beef Tikka Recipe By Food Fusion,https://www.youtube.com/watch?v=h85fp9Hw0vM
Spicy Blooming Pastry Recipe,Indian/Pakistani,1 channel,-,-,Spicy Blooming Pastry Recipe by Food Fusion,https://www.youtube.com/watch?v=gkLh48GXD24
Spicy Boti Samosa Skewers Recipe By Food Fusion (Ramzan special Recipe),Indian/Pakistani,1 channel,-,-,Spicy Boti Samosa Skewers Recipe By Food Fusion (Ramzan special Recipe),https://www.youtube.com/watch?v=8sLOOsYzBT8
Spicy Chatkhara Chicken Chargha,Indian/Pakistani,1 channel,-,-,Spicy Chatkhara Chicken Chargha - Ramadan Special Recipe by Food Fusion,https://www.youtube.com/watch?v=dzGrxtIfImQ
Spicy Chicken Nuggets,Indian/Pakistani,1 channel,Spicy Chicken Nuggets | Restaurant Secret Recipe,https://www.youtube.com/watch?v=H14LJMnhUgU,-,-
Spicy Chicken Resha Kabab Make & Freeze Recipe By Food Fusion (Pre Ramadan prep),Indian/Pakistani,1 channel,-,-,Spicy Chicken Resha Kabab Make & Freeze Recipe By Food Fusion (Pre Ramadan prep),https://www.youtube.com/watch?v=XN5Ge5eqQEU
Spicy Chicken Roast with Garlic Rice Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,Spicy Chicken Roast with Garlic Rice Ramadan Special Recipe By Food Fusion,https://www.youtube.com/watch?v=Jai4yrX5PO4
Spicy Chicken Wings Recipe,Continental,1 channel,-,-,Spicy Chicken Wings Recipe By Food Fusion,https://www.youtube.com/watch?v=aTH-xIVQjZ4
Spicy Coconut Chicken Recipe,Indian/Pakistani,1 channel,-,-,Spicy Coconut Chicken Recipe By Food Fusion,https://www.youtube.com/watch?v=HCACRXWRDbQ
Spicy Cream Eggs,Indian/Pakistani,1 channel,-,-,Spicy Cream Eggs - Sehri Special Recipe by Food Fusion,https://www.youtube.com/watch?v=XZbLBzNFyjE
Spicy Crispy Chicken Burger Recipe,Continental,1 channel,-,-,Spicy Crispy Chicken Burger Recipe By Food Fusion,https://www.youtube.com/watch?v=Ub06gV4gzxc
Spicy Fettuccine Recipe,Indian/Pakistani,1 channel,-,-,Spicy Fettuccine Recipe by Food Fusion,https://www.youtube.com/watch?v=T1vDj3QpUaE
Spicy Fish Croquettes Recipe,Indian/Pakistani,1 channel,-,-,Spicy Fish Croquettes Recipe By Food Fusion,https://www.youtube.com/watch?v=3uLSYcj2Q68
Spicy Fish Fillet with green chutney  Recipe,Indian/Pakistani,1 channel,-,-,Spicy Fish Fillet with green chutney  Recipe By Food Fusion,https://www.youtube.com/watch?v=6a2Nc4aUuxI
Spicy Fried Fish Platter with Chutney Recipe,Indian/Pakistani,1 channel,-,-,Spicy Fried Fish Platter with Chutney Recipe By Food Fusion,https://www.youtube.com/watch?v=P__4eChqRc0
Spicy Fried Khichdi Recipe,Indian/Pakistani,1 channel,-,-,Spicy Fried Khichdi Recipe By Food Fusion,https://www.youtube.com/watch?v=H71MWbyhO0E
Spicy Garlic Chicken Recipe By Food Fusion (Ramazan Special),Indian/Pakistani,1 channel,-,-,Spicy Garlic Chicken Recipe By Food Fusion (Ramazan Special),https://www.youtube.com/watch?v=XGHEXfcAglI
